sprung nr.,start_analyse,t_absprung,messung
1,12.707,13.407,REAL_1
4,36.367,37.067,REAL_1
5,44.612,45.312,REAL_1
1,10.835,11.535,REAL_2
2,18.9955,19.6955,REAL_2
3,26.885,27.585,REAL_2
4,34.6755,35.3755,REAL_2
6,50.7905,51.4905,REAL_2
1,11.347,12.047,VR_1
2,19.4165,20.1165,VR_1
3,27.442,28.142,VR_1
4,35.497,36.197,VR_1
5,43.5465,44.2465,VR_1
2,18.263,18.963,VR_2
3,26.2525,26.9525,VR_2
5,42.3675,43.0675,VR_2
6,50.428,51.128,VR_2
