sprung nr.,start_analyse,t_absprung,messung
1,9.209,9.909,REAL_1
2,17.089,17.789,REAL_1
3,25.499,26.199,REAL_1
4,33.6585,34.3585,REAL_1
5,41.974,42.674,REAL_1
6,49.8835,50.5835,REAL_1
1,4.1165,4.8165,REAL_2
2,12.3965,13.0965,REAL_2
3,20.2965,20.9965,REAL_2
4,28.2515,28.9515,REAL_2
5,36.2765,36.9765,REAL_2
1,11.1645,11.8645,VR_1
2,19.1395,19.8395,VR_1
3,27.1895,27.8895,VR_1
4,35.264,35.964,VR_1
5,43.3095,44.0095,VR_1
6,51.3395,52.0395,VR_1
1,10.0675,10.7675,VR_2
