idx;RT BICEPS FEM_REAL;RT BICEPS FEM_VR;RT MED GASTRO_REAL;RT MED GASTRO_VR;RT VLO_REAL;RT VLO_VR
1;63.718016019777004;41.65595134236584;84.42121221157663;99.15957675037762;122.43040868615655;153.96827767413635
2;33.60739715911425;40.697270691907406;98.24917023724423;111.02069943620178;86.23412135774264;110.79367600051233
3;36.79894609206172;32.93395703284324;79.95172077046263;79.44901919346549;106.18664159416997;93.97164721438327
4;54.46691968819096;33.6702653156574;109.87094106574172;98.60429708182716;89.5138779251111;117.27359153825698
5;52.73664824242269;42.46517061752452;108.10968718164857;90.84133321422019;138.7572315466548;104.03094544814024
6;28.932536269385363;36.941636837695555;106.40317898235875;113.55026822265692;107.04589549679314;139.19056450429267
7;38.2979346104668;48.287950030930396;69.43892751351034;94.0286278529406;143.09135238238622;112.99287387901009
8;33.20621584060549;37.50348256265717;89.17647256356473;69.03343057851733;105.16144073787818;127.71778071418002
9;29.300337890476325;38.84269030004556;85.19969635155793;88.31812335298206;117.57102226457555;134.91673414716482
10;33.88824124242517;45.25114192836489;75.05778710137845;80.50616197015673;108.97955847370062;101.0801812895209
11;35.32752778962217;52.34226701789018;96.34137608879685;87.3289264153896;94.76007949173967;110.80600751346768
12;30.754172946249582;45.263843218712694;81.16430553153369;91.02734904169223;144.99579540331317;158.26054368475494
