idx;RT BICEPS FEM_REAL;RT BICEPS FEM_VR;RT MED GASTRO_REAL;RT MED GASTRO_VR;RT VLO_REAL;RT VLO_VR
1;28.69997405822421;28.87435710223865;89.77492629129104;106.0977417740784;75.8846522729509;76.36418033273964
2;27.077140417346122;24.175027026540555;80.14529379483632;89.57566470420879;61.926847722308324;51.04016843251008
3;50.3636687193495;41.589542464233695;69.86022078737626;91.98224205101457;61.09248933175708;46.87900858506596
4;77.61644038487461;41.48601161432769;86.66643989675322;86.83548905640187;65.66045266766103;85.17960761710928
5;48.12584220788895;43.57260232630231;86.45388555272243;79.62328378954805;89.9388548588511;80.5446978793871
6;98.00602142942361;56.180652499945396;100.9333692497099;73.07392772117471;68.98511668228228;70.30061222861784
7;22.34836375810823;26.047398448709114;82.3786293794734;87.93525735743562;62.58938870177558;67.4235510867812
8;78.5366649202197;53.233284337679486;93.80618779877153;90.52482620047716;65.15643697654257;62.941998069157414
9;31.117090513090513;18.41203392233086;76.28314091676981;83.14247736344225;65.09933765702368;83.11295425366144
10;45.49832532099878;30.67844338708019;87.51059933980007;92.63658804798305;67.50946999886426;87.77975440960961
11;27.039380716244366;16.382145197790365;67.59231524410887;66.98339096467559;85.42138666511957;77.44581902588048
12;44.78597264070688;49.979965684739106;91.98194758670338;79.55646787900677;71.41081490283365;56.97988215967267
