idx;RT BICEPS FEM_REAL;RT BICEPS FEM_VR;RT MED GASTRO_REAL;RT MED GASTRO_VR;RT VLO_REAL;RT VLO_VR
1;61.2144109457963;49.188753831137745;110.17714456708194;85.50051491701697;107.42335762422799;94.43889015407034
2;64.65307349036648;106.92298595870665;73.25030233278262;102.8598408604626;102.76225276065783;107.5674737395437
3;37.68260854093557;59.786559513746205;78.33911314070964;72.48658442712774;111.90778414481227;119.79094292348114
4;34.261402084374495;69.21378130363087;102.33775408510468;90.48024700928488;103.03039870368391;103.29827975532588
5;58.387899782397824;59.19010081811519;99.19490678943784;80.85372690989627;97.25992824110443;67.64501409501106
6;35.86172730854944;50.573131612583275;77.49615401155447;78.25016968944651;103.94178768937097;103.0403881302617
7;44.82528520860013;47.298192831758;77.82693543730282;92.15744207039486;102.34444679105938;126.22777430755194
8;46.77241685776439;59.799878037801655;59.51427369112411;80.47741075963903;117.70427422759839;82.8906619146187
9;34.25423879440111;99.75437261570858;74.83584335429599;72.72904237875609;111.52162049150272;61.26498078071515
10;53.20441256159991;60.83334582242771;101.27967941085222;81.15879215379695;112.90613110145526;102.60765750355145
11;70.38932701477377;44.23745620213079;79.58570873855118;82.10436014996152;66.64962743315048;67.2560904977917
12;62.3942791455333;67.45435660573821;72.80466598188933;78.28143092203536;114.97131473867874;89.3987707552313
