idx;RT BICEPS FEM_REAL_mean;RT BICEPS FEM_VR_mean;RT MED GASTRO_REAL_mean;RT MED GASTRO_VR_mean;RT VLO_REAL_mean;RT VLO_VR_mean
1;8.131987622765893;7.6978141317714455;21.481935643674582;18.22007375499386;21.31542010938051;16.666643055373797
2;7.8157936929269285;11.66740788789454;15.651615186339102;19.411868389416927;18.614804454540042;16.445219255204837
3;8.057807183889091;7.75250016165377;18.716208509806197;14.90397332293416;17.589924586467113;18.938997800742097
4;5.947379488370942;10.426393758092019;14.87747261537748;18.793114412468743;14.99008182051276;18.612374391400117
5;8.626506262197129;8.034432379981236;17.90106873995428;20.779980641657815;16.301728551249923;16.30456574569288
6;5.0614443716669;6.826103941624213;15.134587140907124;15.866192230338342;17.87645696998111;17.963599418167693
7;7.415517752473124;6.851778873788258;15.111227536664712;20.246414121697487;15.741081798339891;16.954141361420017
8;6.539314394343633;7.7745035046987585;11.433247583488118;15.099711748243502;15.322127532537086;16.09160290169012
9;5.929624944705322;11.163692842047789;13.83738694977177;17.268779496966758;17.028899062235386;12.70758048921574
10;8.708505268294642;7.917300165719614;18.99457392602998;18.2929558479934;18.849711644051258;15.906280152599011
11;10.609233237121874;7.277464784679303;16.779406857642847;17.629707252078997;13.570948454332266;13.737515676771489
12;11.501442506614609;8.492954789710165;19.526325922222245;16.7440239134184;16.490676159410413;15.871583626125096
