idx;RT BICEPS FEM_REAL_mean;RT BICEPS FEM_VR_mean;RT MED GASTRO_REAL_mean;RT MED GASTRO_VR_mean;RT VLO_REAL_mean;RT VLO_VR_mean
1;6.275531068680052;7.843151596125676;25.234767109884086;21.120127835300757;;
2;4.661032306981874;7.326434697393175;22.195706845981952;22.27766320191942;;
3;7.609251239898884;6.836537455480977;22.416232291278334;22.591762525856982;;
4;8.201079157175208;7.60997833355703;22.89560572139255;21.82999651789938;;
5;6.458188918289606;7.202370032720851;22.482870317651404;23.49203512721593;;
6;8.220404056062337;5.3634017879327995;23.578904576560653;22.205849257043763;;
7;4.778552427395208;5.47916390459724;24.695630274102406;19.726898301074776;;
8;6.699997036518132;6.917448694098127;21.8704885627296;22.40902151545789;;
9;3.9813654444453044;8.139948857321341;22.001050348285148;19.844877705587717;;
10;6.193859071849323;7.650854106900957;20.79443364633355;22.710648797979644;;
11;5.939813801691897;6.496999875013947;21.181778768726527;23.59281629098641;;
12;6.666590623217888;5.810910623196286;23.43381534532889;21.24273021106415;;
